athlete,gender,cluster,km_week_median,km_week_cv,pace_mean,hr_mean,elevation_mean,sessions_total,active_weeks,cluster_label
10305317,F,0,12.97455,0.6724788608416438,6.7193620963575835,154.92802547770702,87.1484076433121,157,86,Recreacional
10446972,M,3,38.7505,0.48386875997543116,5.732643487295957,144.13333333333333,303.9486707566462,489,163,Alto volumen élite
10825360,M,2,29.8472,0.4737193942588905,7.242324901329443,168.98593996840444,457.4428120063191,633,237,Trail / Montaña
11088529,F,0,21.7,0.48354930136605395,6.515864956685249,149.4953947368421,219.58980263157895,304,127,Recreacional
11284478,M,2,20.22305,0.6426148225014637,6.88343666632827,153.02281879194632,304.02382550335574,298,144,Trail / Montaña
11348733,F,1,17.389400000000002,0.668785438918533,6.122006566180515,142.58513189448442,91.97937649880096,417,179,Irregular rápido
11910984,M,1,18.055999999999997,0.5856617312857283,5.515434435751685,148.80277777777778,96.42500000000001,36,17,Irregular rápido
12021072,M,1,22.696,0.8364788869866301,6.162225482262899,150.1111455108359,297.753560371517,323,131,Irregular rápido
12642956,M,2,21.976,0.9215183922651633,6.910504481489795,154.47339901477832,398.76157635467985,203,91,Trail / Montaña
12701438,M,1,18.863500000000002,0.7462682396473581,6.603903676545229,152.94608294930876,163.2769585253456,217,97,Irregular rápido
12740383,F,2,29.3649,0.721097102083029,7.224449823671719,148.48110599078342,421.83041474654374,217,80,Trail / Montaña
12902518,M,3,47.978899999999996,0.43502045704607883,5.575804035105967,143.91040462427745,209.39595375722544,173,53,Alto volumen élite
13275838,M,1,30.1073,0.5144103483199802,5.491327992115551,138.7648275862069,145.63310344827585,145,52,Irregular rápido
13435425,M,1,13.3559,0.5052367264355437,4.274039707612459,142.5423076923077,110.13076923076923,26,25,Irregular rápido
13829937,F,1,25.670900000000003,0.5784124773538647,6.106619693167354,152.44,178.07611111111112,180,73,Irregular rápido
13881863,M,1,21.2285,0.5813815793883281,5.559804434452655,144.83954802259885,131.42090395480227,177,99,Irregular rápido
13892788,M,1,20.045,0.7825138016903358,5.744238719932458,151.30769230769232,152.95042735042736,117,61,Irregular rápido
14019837,M,1,21.231099999999998,0.6964504229715873,5.878275770198739,142.7022727272727,231.44181818181818,220,113,Irregular rápido
14474051,F,2,24.978650000000002,0.5560249164174891,7.037894808691905,145.31041666666667,339.48333333333335,96,42,Trail / Montaña
14588097,F,3,33.63265,0.3818794837304813,6.071762408187759,151.29247311827956,92.41899641577062,279,94,Alto volumen élite
15002603,F,0,13.6463,0.5412521321553944,6.495683963706558,154.67471264367816,85.96551724137932,174,92,Recreacional
15355766,M,1,20.6082,0.5653645940060916,5.4645341508927485,152.6060606060606,243.37323232323234,198,100,Irregular rápido
15515123,M,3,33.174,0.6885082666094837,5.8346831042803,146.8696485623003,315.3961661341853,313,97,Alto volumen élite
15532293,F,0,14.313,0.5627588402254018,6.068558262281523,168.38584905660377,99.33962264150944,106,68,Recreacional
16021442,M,3,33.368849999999995,0.4496267975610214,5.179297758592527,158.96455223880596,71.4160447761194,268,98,Alto volumen élite
16378210,M,3,27.416,0.45133021081680036,6.138372040991087,148.39425925925926,203.91203703703704,540,201,Alto volumen élite
17199625,M,1,15.029599999999999,0.5864683094549821,5.786579974312317,148.93475177304964,171.2205673758865,141,86,Irregular rápido
17639804,M,3,59.265550000000005,0.5220212226263731,6.166040454617377,148.02521994134898,399.75630498533724,682,164,Alto volumen élite
17666737,M,2,21.4066,0.6710100327344131,6.9700621189525584,149.56,570.84,100,61,Trail / Montaña
1776170,M,1,18.78145,0.7079720784960077,5.8751695052811845,154.3125,316.91416666666663,240,134,Irregular rápido
18042525,M,1,15.0064,0.6044934237700621,5.702385325966244,143.73732057416268,187.9392344497608,209,129,Irregular rápido
18223349,M,3,36.6262,0.42576831428033535,5.570256213000884,150.82249388753056,291.79511002444985,409,140,Alto volumen élite
18736169,M,3,39.3515,0.5876544313712492,5.99593616797352,148.4655737704918,306.67643442622955,488,124,Alto volumen élite
18845906,F,1,15.177,0.6030133949447535,5.51589546951889,147.30434782608697,193.7173913043478,46,31,Irregular rápido
19023831,M,3,52.830799999999996,0.4026413222844775,5.204078162743774,138.0355430183357,95.60662905500706,709,151,Alto volumen élite
19048091,M,1,19.4679,0.6401773070841982,5.889799873357229,144.50531914893617,117.25,188,95,Irregular rápido
19741163,M,3,30.326050000000002,0.5016248243337387,5.507407821812088,155.29912023460412,373.7551319648094,341,138,Alto volumen élite
19905281,F,2,25.621850000000002,0.6272323621108492,6.205289435288736,157.43882352941176,390.44,85,34,Trail / Montaña
2013538,M,2,26.0275,0.5187424655357495,6.177706795171353,147.35537190082644,339.0206611570248,121,55,Trail / Montaña
20136629,M,2,28.82085,0.5007564564706042,6.661178878664356,145.40144927536232,328.1398550724638,276,108,Trail / Montaña
20263706,M,2,13.4557,1.3283947128112916,6.649480839492174,149.37692307692308,633.1846153846153,13,11,Trail / Montaña
20557028,F,0,4.2743,0.0,6.250536150168838,172.2,13.3,1,1,Recreacional
20653961,M,3,44.848,0.46148638001939735,5.699203489407182,122.92311733800351,276.9646234676007,571,137,Alto volumen élite
2081128,M,3,23.30045,0.5743487866620777,5.537651788370331,143.13629343629344,192.81254826254826,518,238,Alto volumen élite
21299972,F,0,15.004999999999999,0.6482665322704864,6.748574342366265,165.18369098712446,79.93690987124464,233,115,Recreacional
2138770,M,1,20.048099999999998,0.7191426860089032,5.707638351503864,146.12048780487805,388.5721951219512,205,109,Irregular rápido
22353493,M,1,19.2393,0.9599952372854844,4.824158016833919,155.74666666666667,67.30095238095238,210,81,Irregular rápido
22538702,M,1,34.6542,0.7691199248853411,5.457442432226244,140.32857142857142,127.504,175,54,Irregular rápido
22559703,M,2,21.07555,0.7371072713824967,5.45610468310028,164.55555555555554,478.6888888888889,54,38,Trail / Montaña
22835898,F,3,37.8129,0.3504182225273006,6.153238805072375,147.1404958677686,131.88181818181818,484,138,Alto volumen élite
22843389,F,2,25.1202,0.5261152263072585,6.639979312864078,158.5974910394265,304.03440860215056,279,130,Trail / Montaña
22866236,M,2,36.6751,0.6250855544332656,6.937426552837234,151.0268292682927,479.4939024390244,164,57,Trail / Montaña
22891135,M,1,23.53,0.6265541916292207,5.697230593212818,149.7891472868217,207.75813953488372,258,106,Irregular rápido
22972731,F,2,19.5165,0.5283783213743629,8.714117156572465,149.35882352941175,1051.535294117647,17,15,Trail / Montaña
23729907,M,3,27.952150000000003,0.527394362419932,7.030319791950859,143.65684523809523,280.2324404761905,672,230,Alto volumen élite
24944587,M,1,19.3767,0.5712825546154526,5.8091591354495575,148.52272727272728,50.06727272727272,110,57,Irregular rápido
25039796,F,0,10.0724,0.5755462637595433,7.00577980666997,166.7173611111111,60.28194444444445,144,87,Recreacional
25191153,M,2,31.501,0.6327386377730383,7.115969161571681,143.69398734177216,397.5509493670886,316,101,Trail / Montaña
25262730,M,2,26.691000000000003,0.48224588237558536,6.496910731742335,161.40348837209302,456.66279069767444,86,41,Trail / Montaña
25277048,F,0,10.09,0.0,6.2438057482656095,139.7,234.1,1,1,Recreacional
25372889,M,1,28.109,0.5926765710447928,5.54397810442136,158.528125,337.31015625,128,52,Irregular rápido
26367918,M,2,32.367999999999995,0.4088599421879423,6.43078571794165,151.3978260869565,474.82608695652175,230,100,Trail / Montaña
26534495,F,2,31.018,0.7069529491007684,8.37842554555877,156.30489130434782,412.67717391304353,184,62,Trail / Montaña
26583329,M,2,35.27745,0.4404320477056904,7.963684496501087,139.60533333333333,537.4253333333334,75,26,Trail / Montaña
26677270,F,0,20.954500000000003,0.4640969990388413,6.033104395475838,156.40164835164833,165.6912087912088,182,81,Recreacional
27279222,M,0,20.005,0.5405241771419774,7.466408766275673,157.73833333333332,197.19666666666666,60,29,Recreacional
27479582,M,1,7.088800000000001,0.7948690311621069,5.812333025709021,155.36774193548385,23.061290322580643,31,14,Irregular rápido
27655563,M,1,18.691000000000003,1.2086965259869726,4.570357665771514,150.35117647058823,25.176470588235293,170,48,Irregular rápido
27679859,M,1,26.0982,0.4290760986217348,6.291060396650276,136.5050505050505,156.86969696969697,99,45,Irregular rápido
27950722,F,0,17.2243,0.42580370523683436,6.769432370985799,152.02948717948718,96.32499999999999,156,82,Recreacional
28252317,F,0,8.117799999999999,0.3619113865879921,7.729748875691622,153.85999999999999,117.24000000000001,5,4,Recreacional
29039974,M,2,32.01165,0.5089968283687666,6.2061257081873284,144.09898989898988,412.1515151515151,99,42,Trail / Montaña
2913078,F,0,20.546,0.49064292315208147,6.7005102350214,148.53920704845817,185.5942731277533,227,113,Recreacional
31787106,M,3,48.8647,0.3792201444384142,5.171491143551981,150.97445255474452,59.58540145985401,137,26,Alto volumen élite
31889836,M,1,20.13635,0.5519618038040971,5.1340157328334195,120.38805970149254,93.83582089552239,134,60,Irregular rápido
31945236,F,0,9.5453,0.6416155629225105,6.257550705256678,164.32105263157894,100.12894736842105,38,31,Recreacional
32507764,M,1,17.6042,0.4365500269335194,5.447078566063321,146.5268292682927,58.802439024390246,82,39,Irregular rápido
34460713,M,1,21.72745,0.5105251328433505,5.551351881158836,150.79166666666666,218.8685185185185,216,94,Irregular rápido
3460571,M,1,18.8153,0.6961952297807498,5.800149916205708,137.76806282722512,112.32958115183247,382,175,Irregular rápido
34669133,M,3,37.75925,0.3263224766183083,5.939220357177743,133.856,125.34360000000001,250,80,Alto volumen élite
3539760,M,1,17.0943,0.7231393384950479,6.240071100508367,145.19866220735787,144.82207357859534,299,141,Irregular rápido
35538376,M,1,16.066200000000002,0.45687577544177804,5.601019099285028,149.50172413793103,81.87931034482759,58,33,Irregular rápido
3573750,M,3,40.087,0.46201742903556425,5.797903319049229,129.7305847076462,134.53403298350824,667,231,Alto volumen élite
36259004,M,2,27.390900000000002,0.6646718849213661,6.0815592859387335,154.81830985915494,517.2415492957747,142,63,Trail / Montaña
36288626,F,0,19.788600000000002,0.5256652970285328,6.894368183681901,157.73777777777778,128.94111111111113,90,39,Recreacional
37124981,F,0,11.79625,0.5962331101685683,7.454809597660133,162.90862068965518,106.52931034482758,58,32,Recreacional
37580157,F,0,11.0549,0.7763641966316325,6.900795871065032,153.8938775510204,61.02857142857143,49,23,Recreacional
38870390,M,1,11.6465,0.6707023469528989,5.391175122020642,151.7,7.25,8,4,Irregular rápido
39076296,M,1,9.662500000000001,1.0899743179164232,5.380115812226499,161.24285714285713,88.0,21,14,Irregular rápido
39963418,M,1,9.5905,0.5860194336730997,5.94170912825624,134.07358490566037,27.962264150943398,53,26,Irregular rápido
